Składniki	Складники
Pakunek pełen krzesiw i węgla drzewnego.	Повний пакунок креміня і деревного вугілля.
Otworzę go dopiero w środku grobowca.	Я не відкриватиму його, доки не опинюся в гробниці.
Pakunek pełen surowców niezbędnych	Повний пакунок сировини, необхіодної
porządnemu kowalowi.	кожному порядному ковалю.
Brzęcząca paczuszka od Davisa	Дзвінкий пакунок від Девіса,
wypełniona wytrychami.	наповнений відмичками.
Kuferek wypełniony eliksirami.	Скриня, наповнена зіллями.
Najwyższy czas otworzyć kuferek.	Настав час відкрити скриню.
Pakunek wypełniony trofeami.	Пакунок, наповнений трофеями.
Pakunek od maga Tengrala	Пакунок від мага Тенграла,
wypełniony magicznymi zwojami.	наповнений магічними сувоями.
Paczka wypchana po brzegi magicznymi zwojami.	Пакунок, вщерть заповнений магічними сувоями.
Wyjątkowo szczelny pakunek od Pablo.	Щільно наповнений пакунок від Пабло.
Bardzo ciężki, niemalże jak porządna broń.	Дуже важкий. Мабуть, там серйозна зброя.
Malutka paczuszka, którą otrzymałem od Ezekiela.	Крихітний пакуночок, який я отримав від Єзекіїля.
Sterta drewna od Knuta.	Оберемок дров від Кнута.
Przyda się do produkcji strzał i łuków.	Знадобиться для виготовлення стріл та луків.
Sprawdzę ją w środku grobowca.	Відкрию його тільки в гробниці.
Wypełniona po brzegi paczka od Viktora.	Вщерть заповнений пакунок від Віктора.
Wszystko pochodzi z magazynu w Silbach.	Все це зі складу Зільбаху.
Zawinięty w papier z symbolami Straży Miejskiej.	Загорнутий у папір з символікою Міської варти.
Do boku przypięta jest mała karteczka.	Збоку прикріплена невеличка записка.
Ktoś musiał to tu dostarczyć zamiast mnie.	Хтось мав доставити це сюди замість мене.
Zawinięty w papier z symbolami Gildii Kupieckiej.	Загорнутий у папір з символікою Торгової Гільдії.
Liścik załączony do paczki,	Записка, вкладена в пакунок,
którą ktoś dostarczył do naszych	який хтось доставив до нашого
zapasów w grobowcu.	складу у гробниці.
Średniej wielkości beczka	Бочка середнього розміру,
wypełniona prochem.	напхана порохом.
Wydaje się stara, ale nie posiada żadnych	Виглядають старими, але при цьому
widocznych uszkodzeń.	не мають жодних видимих пошкоджень.
Księga, którą Ingolf	Книга, яку Інгольф
polecił mi odnaleźć.	доручив мені знайти.
Figurka wykonana przez Caramona.	Фігурка, зроблена Карамоном.
Notatka, którą znalazłem w domu Volkera.	Записка, яку я знайшов у будинку Волкера.
Jeden z jego ludzi próbował ją spalić.	Один з його людей намагався її спалити.
Lista nasion, których brakuje klasztornemu	Список насіння, якого не вистачає
ogrodnikowi.	садівникові в монастирі.
Roślina rosnąca przy brzegach rzek.	Рослина, що росте вздовж берегів річок.
Częsty składnik zup.	Поширений інгредієнт супів.
Śmierdzący i lepiący się	Смердючий і липкий
kawałek rzecznego mirtu.	шматочок річкового мирту.
Najczęściej porasta jałowe tereny,	Переважно росте на безплідних землях,
górskie zbocza i jaskinie.	гірських схилах та в печерах.
Uwielbiana przez trolle.	Тролі його обожнюють.
Mała i bardzo delikatna roślina.	Маленька і дуже ніжна рослина,
Porasta wyłącznie tereny odległe od ludzkich osiedli.	Росте тільки у віддалених від людей місцях.
Roślina rosnąca na dnie głębokich	Рослина, що росте на дні глибоких
zbiorników wodnych.	водойм.
Gorzka w smaku.	Гірка на смак.
Runa teleportująca do kapliczki Innosa	Руна телепортації до святилища Інноса
w mieście Archolos.	в місті Архолос.
Runa teleportująca do kapliczki Adanosa	Руна телепортації до святилища Аданоса
w mieście Archolos.	в місті Архолос.
Runa teleportująca do latarni morskiej	Руна телепортації до маяка
przy Bursztynowym Wybrzeżu.	на Бурштиновому узбережжі.
Runa teleportująca do opuszczonej jaskini	Руна телепортації до покинутої печери
przy mieście Archolos.	біля міста Архолос.
Runa teleportująca do twierdzy Vardhal.	Руна телепортації до фортеці Вардхал.
Runa teleportująca do kapliczki	Руна телепортації до каплиці
w wiosce Silbach.	в селі Зільбах.
Runa teleportująca do jaskini	Руна телепортації до печери
na Mglistych Moczarach.	на Туманних болотах.
