%s - Poziom %d - Rozdział %d	%s - Рівень %d - Розділ %d
'Ciasto' z łajna	'Пиріг' з гною
Zwłoki Timo	Труп Тімо
Zwłoki Ursa	Труп Урса
Zwłoki Vicenta	Труп Вісенте
Zwłoki Vrazki	Труп Вразки
Zwłoki Weigara	Труп Вейгара
Zwłoki Winstana	Труп Вінстана
Zwłoki agitatora Gerharda	Труп агітатора Герхарда
Zwłoki górnika	Труп рудокопа
Zwłoki posłańca	Труп коваля
Zwłoki łuczarza	Труп лучника
Zębacz	Снеппер
Zębate ziele	Снеппер-трава
Złamany miecz Wilczego Syna	Поломаний меч Вовчого Сина
Złocisty posążek Pana Ognia.	Золота фігурка Володаря Вогню.
Złocisty trunek.	Золотистий напій.
Złodziej	Злодій
Złodziej zabrał ją Elidowi.	Злодій забрав його у Еліда.
Złodziej-partacz	Починаючий злодій
Złota biżuteria, która szczycą się bogaci	Золоті прикраси, якими можуть похвалитися
Złota kusza	Золотий арбалет
Złota moneta	Золота монета
Złota skrzynia	Золота скриня
Złote Wrota - Sklep z różnościami	Золоті Ворота – 1000 Дрібниць
Złote naczynie	Золотий келих
Złoto	Золото
Złoty Innos	Золота фігурка Інноса
Złoty Szperlacz	Золотий Шперлац
Złoty naszyjnik	Золоте намисто
Złoty pierścień	Золотий перстень
Złoty puchar	Золотий келих
Złoty sztylet	Золотий кинджал
Złoty talerz	Золота тарілка
Złoty świecznik	Золотий підсвічник
Złowiłeś 1 rybę!	Ви спіймали одну рибину!
Złowiłeś 2 grube ryby!	Ви спіймали дві великі рибини!
Złowiłeś 2 ryby!	Ви спіймали 2 рибини!
Złowiłeś 3 ryby!	Ви спіймали 3 рибини!
Złowiłeś grubą rybę!	Ви спіймали велику рибину!
Złoże magicznej rudy	Родовище магічної руди
Złoże soli	Поклади солі
Złoże srebra	Родовище срібла
Złoże żelaza	Родовище заліза
a czarne trolle nie istnieją.	і чорних тролів не існує.
a dla wszystkich innych żart słowny.	а для всіх інших - словесний жарт.
a raczej jego braku.	а точніше, про його відсутність.
a zioła dodają mu mocnego aromatu.	а трави додають йому насиченого аромату.
akcji przeciwko przemytnikom.	дії проти контрабандистів.
albo była tragicznie wykonana.	або вона була недбало зроблена.
alchemicznego w klasztorze.	алхімічного столу в монастирі.
alchemików do produkcji eliksirów.	алхіміками для виготовлення зілля.
ale każdy głodny zje go ze smakiem.	але кожен голодний з'їсть його із задоволенням.
ale lepsze to niż głód.	але все ж краще, ніж голод.
ale parę słów wciąż jest czytelne.	але кілька слів все ще можна прочитати.
ale posiada właściwości magiczne.	але має магічні властивості.
ale przy ognisku można	але біля багаття можна
ale to nie jedyna zawartość mieszka.	але це не єдине, що там є.
autorstwa jakiegoś Paladyna.	написана якимось паладином.
autorstwa maga Ibeusa.	за авторством мага Ібеуса.
bardzo trującą wydzielinę.	дуже отруйну речовину.
bez pozwolenia Graysona!	без дозволу Грейсона!
biedniejsze sfery w towarzystwie czerstwego chleba.	а бідніше населення - з черствим хлібом.
biedniejsze warstwy społeczeństwa.	найбіднішими верствами населення.
biedniejszych mieszkańców Archolos,	найбідніших мешканців Архолосу,
by chociaż go dotknąć.	щоб хоча б доторкнутися до нього.
by od razu postawił na nogi.	здатен миттєво поставити вас на ноги.
bólu głowy po wypiciu.	головного болю після вживання.
będą zadowoleni z zawartości.	будуть задоволені його вмістом.
celności kuszników z Archolos.	влучності арбалетників Архолосу.
chroniącego przed obrażeniami od upadku.	що захищає від пошкоджень при падінні.
cięciw w łukach i kuszach.	тятиви для луків та арбалетів.
coś znajdowało się w środku...	всередині щось є...
czasem używany do przyozdabiania broni.	іноді використовується для оздоблення зброї.
czyja receptura na ciastka jest najlepsza.	чий рецепт печива найкращий.
często przykładana do ran by przyśpieszyć gojenie.	прикладають до ран, щоб прискорити загоєння.
delikatna i niezwykle aromatyczna zielona zupa.	ніжний і надзвичайно ароматний суп з зеленню.
delikatne wino.	витончене вино.
dla Jorna.	для Йорна.
dla tropicieli Araxos.	для слідопитів Араксос.
do Crednara.	до Креднара.
do dostarczonego wina naszej produkcji.	доставленого вина нашого виробництва.
do handlu na terenie Silbach.	торгувати на території Сільбаху.
do kopalni srebra w Wilczym Leżu.	до срібної копальні у Вовчому Лігві.
do nadania obywatelstwa.	для надання громадянства.
do odnowienia	для відновлення
do opatrunku ziołowego dla Jorna.	для створення трав'яної пов'язки для Йорна.
do produkcji ciasta chlebowego...	для приготування хлібного тіста...
do przyrządzenia opatrunku dla Jorna.	щоб зробити пов'язку для Йорна.
do szefa kopalni królewskiej.	начальнику Королівської копальні.
do wytwarzania wyposażenia.	на виготовлення спорядження.
do właściwości dorosłej rośliny.	до властивостей дорослої рослини.
dobrą cenę.	хорошу ціну.
domu przy Targu Rybnym w porcie.	будинком біля Рибного ринку в порту.
doprawione korzennymi przyprawami i odrobiną wódki.	приправлене спеціями та краплею спирту.
dorosłych osobników.	дорослих особин.
dostaw dla Przystani Łotrów.	постачання для Гавані негідників.
drogocenny puchar z bagien.	антикварний келих з болота.
działalności przemytników.	діяльність контрабандистів.
działaniach orków na Archolos.	дії орків на Архолосі.
działanie run teleportacyjnych.	як працюють руни телепортації.
dziwnie pachnie - musiał być niedawno wykopany.	і дивно пахне. Мабуть, його недавно відкопали.
dzięki egzotycznym przyprawom	Завдяки екзотичним прянощам
gdzie Południowiec zlecił	де південець попросив
gdzie wcześniej przebywał Południowiec,	де я зустрів південця,
górskie zbocza i jaskinie.	гірських схилах та в печерах.
głodem tych, którym nie poszczęściło się	голоду тих, кому не пощастило
herszcie grupy oprychów.	ватажка групи головорізів.
i błękitnym kamieniem umieszczonym pośrodku.	і синім каменем посередині.
i całej Przystani Łotrów.	і усієї Гавані негідників.
i charakterystyce wina, pióra Montresora.	та характеристики вина, автор Монтрезор.
i charakterystycznym zapachu.	і характерним запахом.
i chroni go przed nieznanym złem.	і захищає його від невідомого зла.
i duszone na wolnym ogniu w wielkim garze.	на повільному вогні у великому казані.
i głęboki, złocisty kolor.	і глибоким золотистим кольором.
i już do niczego się nie nadaje.	і більше ні для чого не годиться.
